
pulmonary_edema_severity	keyword_terms
1	vascular congestion
1	vascular enlargement
1	vascular plethora
1	vascular engorgement
1	vascular prominence
1	cephalization
1	hilar congestion
1	hilar engorgement
1	hilar prominence
1	peribronchial cuffing
1	bronchial cuffing
1	bronchial wall thickening
2	septal lines
2	septal line
2	septal thickening
2	kerley
2	b lines
2	b-lines
2	b line
2	interstitial abnormality
2	interstitial abnormalities
2	interstitial marking
2	interstitial markings
2	interstitial infiltrates
2	interstitial opacities
2	interstitial thickening
2	interstitial process
2	interstitial edema
2	interstitial pulmonary edema
3	severe pulmonary edema
3	parenchymal opacity
3	parenchymal opacification
3	parenchymal opacities
3	parenchymal infiltrates
3	airspace opacity
3	airspace opacification
3	airspace opacities
3	airspace infiltrates
3	alveolar opacity
3	alveolar opacification
3	alveolar opacities
3	alveolar infiltrates
